Código	Artículo	Precio sin impuestos	Porcentaje impuestos	Porcentaje liquidación	Fecha fin de promo	Fecha reposición	Canon digital	Part number	Stock local	Stock provincias	Id marca	Id categoría	Categoría	URL imagen	Código Icecat
10118647	"Funda CASE LOGIC Laptop Sleeve 15-16"" Buckthorn(3204427"	PVM	7	0		11/11/2022	0	3204427	0	0			Ordenadores portátiles>Maletines>Fundas		-1
10118499	Adaptador Approx USB-C a 2.5 Gigabit Ethernet (APPC57)	PVM	7	0		11/11/2022	0	APPC57	0	0			Periféricos>Hubs y adaptadores>Adaptadores USB	https://cluster.binarycanarias.com/img/cp-10118499.jpg	-1
50357091	Toner BROTHER Amarillo 3500pag (TN-326Y)	PVM	7	0			0	TN326Y	1	1			Consumibles impresión>Toner Marcas>Toner Brother	https://cluster.binarycanarias.com/img/cp-50357091.jpg	22159007
10112299	"Caja HDD TOOQ 2.5"" SATA USB3.0/3.1 Azul (TQE-2527PB)"	PVM	7	0			0	TQE-2527PB	4	10			Periféricos>Discos y cajas externos>Cajas SATA 2.5	https://cluster.binarycanarias.com/img/cp-10112299.jpg	93224603
10112343	Pedales Thrustmaster Racing Add On T-3PM (4060210)	PVM	7	0			0	4060210	1	3			Juegos y Consolas>Gaming PC>Varios (gaming PC)	https://cluster.binarycanarias.com/img/cp-10112343.jpg	92343776
10112531	Conversor DeepCool RGB 5v a 12v (CHUB5-12V)	PVM	7	0			0	DP-FRGB-CHUB5-12V	10	10			Ordenadores portátiles>Accesorios notebook>Alimentación	https://cluster.binarycanarias.com/img/cp-10112531.jpg	79600772
10112578	Ratón Gaming LOGITECH G102 Lightsync Blanco 910-005824	PVM	7	0			0	910-005824	2	2			Periféricos>Ratones>Ratones gaming	https://cluster.binarycanarias.com/img/cp-10112578.jpg	79042418
10112891	Pendrive Tech One Tech MJ Thriller 32Gb (TEC5103-32)	PVM	7	0			0.24	TEC5103-32	10	10			Periféricos>Pendrive>32Gb	https://cluster.binarycanarias.com/img/cp-10112891.jpg	-1
10113001	Tinta BROTHER XL Cian (LC421XLC)	PVM	7	0			0	LC421XLC	2	7			Consumibles impresión>Tintas Marcas>Tintas Brother	https://cluster.binarycanarias.com/img/cp-10113001.jpg	92671311
10113099	ASUS ROG STRIX B560-G GAMING WIFI:(1200) mATX	PVM	7	0			0	90MB1750-M0EAY1	2	2			Integración>Placas base>Intel socket 1200	https://cluster.binarycanarias.com/img/cp-10113099.jpg	89217315
10113154	Tinta HP N950 + N951 Negro/Tricolor (6ZC65AE)	PVM	7	0			0	6ZC65AE	2	4			Consumibles impresión>Tintas Marcas>Tintas HP	https://cluster.binarycanarias.com/img/cp-10113154.jpg	80484172
10113319	"Monitor KEEPOUT 24"" LED FHD Curvo Negro/Rojo XGM24PRO+"	PVM	7	0			0	XGM24PRO+	2	2			Periféricos>Monitores>Hasta 26 pulgadas	https://cluster.binarycanarias.com/img/cp-10113319.jpg	-1
10113412	Tostador ORBEGOZO TO 3010 750W Blanco (15059)	PVM	7	0			0	15059	2	2			Hogar / Electrónica consumo>Electrodom.>Pequeño electrodom.	https://cluster.binarycanarias.com/img/cp-10113412.jpg	13134635
10113505	Devia Correa Elegant Apple Watch 42/44 Stone DSTWBEL44S	PVM	7	0			0	DSTWBEL44S	0	2			Telefonía / Smartphones>Accesorios de telefonía móvil>Pulseras Smartband	https://cluster.binarycanarias.com/img/cp-10113505.jpg	-1
